Time	SW	Snore	Flow	SpO2_Events	HR	Position	Activity	SpO2	Thorax	Abdomen	Pleth	Pulse
23:00:00	Wake	585	-1.93	2	65	Upright	69	91	2.24	1.69	0.84	100
23:00:30	Sleep	39	-1.22	1	85	Right	24	98	0.84	2.12	1.13	80
23:01:00	Wake	232	-1.36	1	72	Right	103	92	2.11	1.83	1.03	96
23:01:30	Sleep	422	-1.65	1	69	Upright	185	98	2.42	1.27	0.81	68
23:02:00	Wake	277	0.79	1	67	Left	12	99	1.37	1.84	1.09	61
23:02:30	Wake	548	1.07	1	65	Right	36	91	2.02	2.31	1.09	77
23:03:00	Wake	168	-1.65	2	75	Right	148	90	1.67	1.7	0.99	70
23:03:30	Wake	320	1.81	0	80	Right	19	90	1.14	1.65	0.85	91
23:04:00	Wake	203	0.32	3	70	Upright	62	95	0.62	0.79	1.1	58
23:04:30	Wake	224	1.11	2	72	Left	127	93	2.08	0.75	0.99	74
23:05:00	Sleep	588	-1.26	1	57	Right	199	94	1.77	0.58	1.16	71
23:05:30	Sleep	91	-1.47	1	63	Right	119	94	1.24	0.57	1.17	73
23:06:00	Sleep	460	0.04	3	70	Supine	141	95	2.37	1.26	1.1	92
23:06:30	Wake	399	1.42	1	99	Supine	57	99	2.12	1.76	0.98	92
23:07:00	Wake	304	0.49	3	62	Left	164	91	1.39	1.66	0.88	56
23:07:30	Wake	70	-0.77	2	79	Right	85	90	1.6	2.37	1.04	59
23:08:00	Sleep	361	-0.02	2	60	Right	39	96	1.85	0.6	0.88	84
23:08:30	Wake	69	1.28	2	55	Upright	104	97	0.63	1.22	1.11	92
23:09:00	Wake	27	-0.33	3	71	Left	29	97	2.28	1.48	1.02	55
23:09:30	Sleep	512	0.68	2	69	Supine	187	91	1.42	1.14	1.02	70
23:10:00	Wake	86	0.28	1	58	Right	165	97	1.04	1.3	0.95	59
23:10:30	Sleep	19	-1.08	2	95	Supine	27	90	2.39	1.76	1.05	61
23:11:00	Wake	476	-0.15	1	95	Supine	114	95	1.15	2.21	1.02	70
23:11:30	Wake	596	-0.81	2	68	Left	21	97	1.08	1.28	1.09	66
23:12:00	Sleep	511	-0.11	2	82	Supine	135	98	2.2	1.15	0.89	77
23:12:30	Sleep	366	1.01	1	55	Right	144	95	2.2	1.3	1.05	71
23:13:00	Wake	375	0.51	1	57	Upright	57	92	2.05	0.53	0.99	59
23:13:30	Sleep	114	0.78	0	90	Upright	80	91	0.55	1.63	0.87	69
23:14:00	Sleep	491	0.34	2	58	Supine	164	99	1.39	1.95	1.05	60
23:14:30	Wake	209	0.19	3	61	Right	13	90	1.26	0.59	0.87	59
23:15:00	Sleep	481	1.19	3	80	Right	28	94	0.97	1.28	0.97	56
23:15:30	Sleep	170	-1.02	2	56	Upright	11	93	0.61	1.74	1.15	87
23:16:00	Wake	106	0.07	2	93	Supine	13	93	2.26	2.18	0.97	85
23:16:30	Wake	260	-0.44	0	72	Upright	0	93	1.75	2.17	1.07	85
23:17:00	Wake	452	0.78	3	63	Upright	147	96	1.28	0.61	0.85	91
23:17:30	Wake	567	-1.35	1	86	Left	162	98	1.65	2.23	1.18	87
23:18:00	Wake	529	-1.55	1	56	Upright	97	97	0.65	1.94	1.05	84
23:18:30	Sleep	583	0.27	1	99	Upright	16	92	1.7	2.34	1.04	93
23:19:00	Sleep	228	-1.51	0	82	Right	190	90	2.28	2.19	0.92	86
23:19:30	Wake	474	-1.29	3	57	Right	55	98	2.12	0.83	1.08	91
23:20:00	Wake	250	-0.79	2	55	Upright	120	99	1.8	1.74	1.14	97
23:20:30	Sleep	179	-0.59	1	86	Left	116	91	2.06	1.93	1.15	93
23:21:00	Wake	273	-0.43	0	83	Upright	85	98	1.82	1.1	1.1	75
23:21:30	Wake	416	-1.91	1	67	Left	42	93	2.18	1.16	0.83	95
23:22:00	Wake	550	-0.97	1	96	Upright	136	93	0.58	1.71	1.06	65
23:22:30	Wake	340	1.29	3	78	Left	128	98	0.78	1.93	0.9	91
23:23:00	Wake	249	1.69	0	82	Upright	74	96	1.12	0.94	0.89	91
23:23:30	Wake	533	0.75	0	70	Upright	112	97	0.61	1.34	1.01	69
23:24:00	Sleep	585	-1.78	0	81	Right	69	94	2.24	0.68	0.91	89
23:24:30	Sleep	334	1.83	3	97	Right	199	98	2.27	0.68	1.12	85
23:25:00	Sleep	369	0.85	0	74	Supine	9	92	2.21	1.94	1.19	69
23:25:30	Wake	490	1.08	0	97	Supine	195	100	1.01	1.19	1.1	58
23:26:00	Wake	222	0.04	2	65	Supine	111	91	2.16	2.31	0.82	76
23:26:30	Wake	27	-0.91	2	92	Upright	75	92	1.81	0.96	1.08	62
23:27:00	Wake	352	0.61	0	63	Upright	105	94	1.01	1.97	1.07	79
23:27:30	Sleep	191	0.98	3	62	Right	131	95	1.38	1.94	1.09	98
23:28:00	Wake	458	0.01	0	62	Supine	197	98	1.35	1.78	1.16	87
23:28:30	Wake	125	1.25	0	99	Left	192	99	0.53	1.74	0.89	74
23:29:00	Wake	469	1.0	2	67	Right	10	91	0.78	1.68	1.01	90
23:29:30	Wake	382	-0.91	2	91	Upright	130	92	1.39	1.62	1.0	98
23:30:00	Wake	503	0.65	0	91	Left	86	96	1.23	1.16	0.98	77
23:30:30	Wake	422	1.64	2	78	Supine	183	98	1.55	2.1	1.13	92
23:31:00	Sleep	444	0.9	2	61	Left	87	96	2.48	2.06	1.0	97
23:31:30	Wake	308	0.41	1	86	Supine	52	93	1.11	1.91	1.06	57
23:32:00	Sleep	172	-0.66	2	91	Supine	141	95	1.77	1.28	0.92	66
23:32:30	Sleep	291	1.71	1	67	Upright	185	97	1.8	1.65	0.99	57
23:33:00	Sleep	302	-1.34	1	83	Left	54	99	0.53	0.73	0.91	76
23:33:30	Sleep	472	1.42	0	81	Upright	87	97	1.22	2.48	1.13	58
23:34:00	Sleep	39	1.3	3	70	Upright	130	94	1.16	1.09	0.91	86
23:34:30	Sleep	423	-1.37	1	66	Left	197	96	1.5	2.05	1.11	61
23:35:00	Wake	484	-0.87	3	76	Left	78	97	2.07	1.83	1.0	92
23:35:30	Wake	598	0.83	1	86	Left	159	98	1.47	2.32	0.94	71
23:36:00	Sleep	54	-1.76	0	93	Supine	171	92	2.29	1.7	0.98	97
23:36:30	Sleep	437	0.8	2	56	Supine	51	90	0.62	1.98	1.08	56
23:37:00	Wake	106	1.76	2	97	Upright	75	93	0.62	1.61	0.9	91
23:37:30	Sleep	504	0.51	3	76	Right	24	97	1.06	1.12	0.82	61
23:38:00	Wake	332	-1.48	2	66	Right	3	99	1.92	2.46	1.03	98
23:38:30	Wake	409	0.41	1	95	Right	75	100	1.77	1.95	0.87	85
23:39:00	Sleep	293	1.32	0	58	Right	134	93	1.48	2.2	1.12	78
23:39:30	Sleep	287	-1.35	2	97	Upright	111	95	2.27	0.9	0.88	79
23:40:00	Wake	199	-1.3	1	56	Supine	168	97	1.81	1.34	0.83	67
23:40:30	Wake	57	0.42	1	81	Upright	120	93	1.47	1.3	0.88	78
23:41:00	Wake	285	-0.54	0	73	Upright	17	91	1.67	0.65	1.16	58
23:41:30	Sleep	582	1.54	3	56	Supine	156	93	1.71	2.46	0.81	56
23:42:00	Sleep	211	0.93	3	85	Left	56	98	1.66	0.77	0.87	77
23:42:30	Sleep	209	0.96	2	86	Right	146	90	1.74	1.15	0.81	71
23:43:00	Wake	454	0.53	2	66	Supine	131	95	1.05	1.9	1.1	72
23:43:30	Wake	302	0.97	3	95	Left	106	91	2.19	2.16	1.06	82
23:44:00	Wake	487	1.82	2	76	Left	81	94	0.87	1.03	1.03	79
23:44:30	Sleep	29	1.94	1	66	Supine	166	99	2.11	1.55	1.03	68
23:45:00	Sleep	320	0.24	2	73	Right	11	100	1.34	1.52	0.97	63
23:45:30	Wake	347	-1.44	2	86	Left	113	96	1.66	2.13	1.19	97
23:46:00	Wake	57	1.55	3	78	Supine	89	93	0.89	1.27	1.17	86
23:46:30	Wake	208	1.35	3	76	Supine	63	91	2.46	1.09	1.2	89
23:47:00	Sleep	208	1.76	2	56	Supine	193	91	1.78	0.81	1.15	92
23:47:30	Wake	186	1.47	2	74	Supine	91	96	0.86	1.03	0.98	68
23:48:00	Wake	2	-0.34	1	62	Right	155	93	1.14	1.06	1.11	83
23:48:30	Sleep	172	-1.63	2	92	Left	42	91	0.8	0.96	1.0	80
23:49:00	Sleep	518	1.38	3	81	Left	187	100	1.65	1.03	0.97	55
23:49:30	Wake	377	-0.79	1	55	Right	200	98	2.46	0.74	1.08	84
23:50:00	Wake	381	-0.11	1	83	Left	98	98	2.22	1.55	1.12	56
23:50:30	Sleep	254	-1.07	3	73	Supine	78	90	2.08	0.83	1.13	77
23:51:00	Sleep	254	1.98	3	83	Left	36	100	0.69	1.94	0.88	88
23:51:30	Wake	317	1.15	3	96	Supine	35	100	0.79	1.22	1.02	84
23:52:00	Sleep	581	-1.18	3	64	Right	138	100	1.37	0.75	0.9	62
23:52:30	Wake	50	-1.69	0	77	Upright	106	96	2.32	1.71	0.81	60
23:53:00	Wake	435	1.37	3	70	Right	124	96	1.19	1.25	1.16	95
23:53:30	Wake	292	-0.74	1	97	Upright	13	100	0.5	1.99	1.1	60
23:54:00	Wake	232	0.69	2	98	Upright	81	95	1.92	1.33	1.04	85
23:54:30	Sleep	236	1.5	2	74	Supine	96	97	1.58	2.31	0.93	56
23:55:00	Sleep	563	-0.93	3	62	Left	24	96	2.28	0.92	0.82	82
23:55:30	Wake	305	-1.75	0	89	Upright	105	96	1.46	1.51	1.15	87
23:56:00	Sleep	460	1.97	1	57	Supine	96	98	0.62	1.74	1.15	85
23:56:30	Wake	65	1.58	0	76	Left	80	100	2.04	0.88	1.0	62
23:57:00	Sleep	225	0.62	1	90	Left	133	91	0.98	0.52	1.1	61
23:57:30	Sleep	108	-0.33	0	98	Right	26	92	2.08	1.51	1.2	98
23:58:00	Wake	468	-0.86	3	74	Left	62	99	0.96	1.19	0.81	60
23:58:30	Sleep	105	1.43	3	72	Supine	12	95	1.45	1.91	0.95	95
23:59:00	Sleep	385	0.56	1	85	Right	56	94	1.65	1.57	1.17	77
23:59:30	Sleep	27	-1.23	0	76	Supine	143	94	0.73	1.85	0.83	67
00:00:00	Sleep	366	0.16	0	87	Left	166	91	1.23	1.4	1.09	71
00:00:30	Wake	396	-1.56	3	83	Upright	59	94	1.54	1.0	1.04	59
00:01:00	Sleep	286	-1.71	0	65	Right	168	98	1.91	1.8	1.03	86
00:01:30	Wake	542	-1.18	1	95	Upright	66	99	1.35	2.12	1.03	75
00:02:00	Sleep	0	1.4	1	83	Left	113	96	0.88	1.8	1.2	58
00:02:30	Sleep	548	0.81	3	61	Upright	51	96	1.24	1.08	1.08	73
00:03:00	Wake	508	-0.82	1	60	Supine	162	97	2.49	1.82	0.81	91
00:03:30	Sleep	527	1.71	3	80	Supine	17	97	2.26	0.99	0.88	81
00:04:00	Sleep	462	1.09	1	60	Supine	42	93	1.14	0.51	0.92	73
00:04:30	Sleep	437	0.67	0	76	Upright	37	99	1.15	0.98	1.15	68
00:05:00	Wake	27	-0.2	0	97	Supine	159	91	0.92	1.25	1.13	77
00:05:30	Wake	358	-1.45	2	71	Left	20	96	1.49	1.78	1.06	72
00:06:00	Sleep	130	0.81	3	71	Supine	181	90	1.76	1.06	1.17	95
00:06:30	Wake	379	0.53	2	97	Supine	189	92	0.56	2.35	1.14	62
00:07:00	Sleep	130	-1.17	0	69	Left	118	94	1.37	1.18	0.86	98
00:07:30	Wake	396	0.43	2	84	Left	1	92	0.9	0.97	0.96	95
00:08:00	Wake	306	1.87	2	65	Supine	174	95	2.08	1.47	1.13	68
00:08:30	Wake	57	1.03	1	69	Right	110	99	2.28	1.67	1.12	76
00:09:00	Wake	160	-0.6	0	77	Upright	146	97	1.89	2.24	0.85	96
00:09:30	Wake	129	-1.93	3	66	Left	48	97	1.44	2.49	0.82	96
00:10:00	Wake	562	-0.73	0	89	Upright	137	95	1.33	1.68	1.1	57
00:10:30	Wake	461	-0.21	0	99	Supine	163	90	1.66	1.77	1.16	77
00:11:00	Wake	192	-0.92	3	88	Left	170	100	2.21	2.34	0.8	95
00:11:30	Sleep	436	0.04	3	55	Left	13	92	1.31	0.86	1.04	60
00:12:00	Wake	226	-0.34	0	100	Supine	38	92	0.66	1.61	1.07	95
00:12:30	Sleep	302	-1.91	3	95	Right	197	94	2.16	2.31	1.1	84
00:13:00	Wake	221	1.04	0	55	Upright	37	99	2.04	2.45	1.06	80
00:13:30	Wake	260	0.69	2	83	Supine	170	100	1.21	1.05	0.81	62
00:14:00	Wake	124	-1.28	1	96	Right	92	94	1.68	0.85	0.95	78
